uid,barcode,ddn,location,itype,isbn,publishercode,pages,place,author,title,abstract,notes,seriestitle,copyrightdate,tags
11,1007,891.433/GHO,Secondary section - Hindi,BKS,9789386346179,Pratham Books,32p.,Bengaluru,"Ghosh, Padmaparna","ऊपर की दुनिया, नीचे की दुनिया / Upar ki duniya, niche ki duniya  ","In a canopy forest in India, the Up World and Down World have always been suspicious of each other. But it all changes when Gopa the dormouse drops her book by accident on Fatima's head. A story about the biodiversity of the canopy forests and friendship.",,,2022,"""Children's Book, Indian Forests, Biodiversity, Canopy Forests, Friendship, Adventure, Indian Literature, Environmental Education, Animal Characters, Inter-world Relationships, Cross-cultural Friendship"""
12,1008,621.386/PRA,Primary section - Hindi,BKS,9789387423565,Pratham Books,16p.,Bengaluru,"Prasad, Veena",टेलीफ़ोन : बेल से सेल तक / Telephones : bel se sale tak,Translation of 'Telephones : bell to cell'. On how the telephone changed history; for juvenile.,,,2022,"""Telecommunications, Alexander Graham Bell, Cell Phones, Technological Advancements, History, Juvenile Literature, Non-fiction, Science and Technology, Social Impact, Conversational Hindi"""
13,1009,891.433/PAI,Secondary section - Hindi,BKS,9788182639010,Pratham Books,28p.,Bengaluru,"Pai, Madhuri",नमकीन किस्से / Namakin kisse,Translation of ' Mithache goshta'. Children's story about the importance of salt.,,,2022,"""Children's Literature, Salt Importance, Life Lessons, Indian Culture, Translation, Bilingual: Hindi and English, Children's Story, Educational, Life Values, Indian Children's Book, Nutritional Awareness, Food and Culture"""
14,101,428.076/MAC,Teachers resources - Secondary section,BKS,9781398311411,Hodder education,174p.,London,"Macgregor, Fiona",Cambridge checkpoint lower secondary world english 7,,,,2021,"""Education, English Language Learning, Lower Secondary, Cambridge Checkpoint, English Curriculum, World English, Language Skills, Age 7+, Education Resources, Teaching Materials"""
15,1010,796.522/TRI,Secondary section - Hindi,BKS,9789353095093,Pratham Books,20p.,Bengaluru,"Tripathi, Shikha",टीने और दूर बसे पर्वत / Tine aur dur base parvat,"Biography of a woman mountaineer from Arunachal Pradesh, India; juvenile literature",,,2022,"""Biography, Woman Mountaineer, Arunachal Pradesh, India, Juvenile Literature, Mountaineering, Adventure, Women Achievers, Indian Biography, Child-friendly, Inspirational Stories, Outdoor Adventures"""
16,1011,741.5/SEN,Primary section - Hindi,BKS,9788184795462,Pratham Books,12p.,Bengaluru,"Sengupta, Subhadra",गोकुल के सपने / Gokul ke sapane,Translation of ' Freedom run'.,,,2022,"""Translated Literature, Hindi Literature, Freedom Run, Gokul Ke Sapane, Running, Inspirational, Motivational"""
17,1012,891.433/SAM,Secondary section - Hindi,BKS,9789387802896,Pratham books,12p.,Bengaluru,"Sampatkumar, Yashaswini",हवा कितनी भारी है / Hawa kitni bhari hai?,Children's story based on Lakshmi and her classmates find out if air has any weight.,,,2021,"""Children's Literature, Indian Authors, Hindi Story Books, Science for Kids, Air Science, Experimental Learning, School Stories, Learning Concepts, Kids Books, Elementary Science Education, Indian Culture, Science Experiments, Hindi Books, Multilingual Books"""
18,1013,891.433/DHA,Secondary section - Hindi,BKS,9789350226865,Pratham Books,20p.,Bengaluru,"Dhar, Payal",थोड़ी सी मदद / Thodi si madad,Translation of 'A helping hand'. There's a new girl in class and our teacher has asked me to be her friend and show her around. But I'm not sure I want to - she's ... not like the rest of us!,,,2022,"""Hindi Literature, English Literature, Translation, Children's Book, School Stories, Friendship, Social Differences, Cultural Diversity, Empathy, Life Lessons"""
19,1014,305.42/BHA,Secondary section - Hindi,BKS,9789390968831,Pratham Books,20p.,Bengaluru,"Bhasin, Kamla",बेटियाँ भी चाहें आज़ादी / Betiyaa bhi chaahe azadi,"Now girls also want azadi Freedom from violence and harassment, the freedom to choose, and to exercise their rights. And azadi to be who they want to be.",,,2022,"""Feminism, Freedom, Women Empowerment, Social Change, Women's Rights, Violence Against Women, Harassment, Gender Equality, Indian Society, Women in India, Choice and Independence, Motivational, Non-Fiction, Inspirational"""
20,1015,891.433/DAS,Secondary section - Hindi,BKS,9789353094737,Pratham Books,20p.,Bengaluru,"Dasgupta, Ananya",आकाशगंगा में छेद! / Aakashganga me ched,Children's story about three friends who go out in rockets to explore the solar system. Suddenly they start falling into a black hole.,,,2022,"""Children's Books, Space Exploration, Adventure, Solar System, Black Hole, Friendship, Science Fiction, Interstellar Travel, Astronomy, Indian Literature, Foreign Language Books, Rockets, Astronauts, Outer Space, Hindi Language"""
21,1016,891.433/HAR,Primary section - Hindi,BKS,9789386346551,Pratham Books,12p.,Bengaluru,"Hariharan, Githa",छोटा मल्लाह नासिर / Chota mallaha Nasira,Translation of 'Ferryboy Nasser'. Story about Nassers first day as ferryboy when he enthusiastically volunteers to fill in for his ill grandfather.,,,2022,"""Translation, Ferryboy Nasser, Children's Story, Family, Responsibility, Coming-of-age, Adventure, Indian Literature, Grandfather-Grandson Relationship, Volunteering, Village Life, Children’s Occupation."""
22,1017,891.433/SEN,Primary section - Hindi,BKS,9788182632332,Pratham Books,16p.,Bengaluru,"Sen Gupta, Subhadra",राजा और बादशाह : Raja aur badshaha,"Children's story based on Raza, son of a tailor who meets Akbar, Emperor of Hindustan, 1542-1605 and helps to like the waistband.",,,2022,"""Children's Books, Historical Fiction, Cultural Heritage, Indian History, Mughal Empire, Biographical Fiction, Tailoring, Adventure, Friendship, Akbar the Great, Hindi Language"""
23,1018,644.6/PRA,Secondary section - Hindi,BKS,9789386721921,Pratham Books,16p.,Bengaluru,"Prasad, Veena",शौचालय-कथा / Shauchalay katha,Translation of 'The tale of the toilet'. On how toilets changed history.,,,2021,"""Indian Literature, Translation, Historical Influence, Sanitation History, Non-fiction, Cultural Studies, Social Impact, Toilet History, Hindi Language Books, Public Health"""
24,1019,891.4392/ANW,Secondary section - Hindi,BKS,9789350226650,Pratham Books,28p.,Bengaluru,"Anwar, Shahid",सब्ज़परी का जलतरंग : पर्यावरण पर एक मज़ेदार नाटक / Sabzapari ka jalataranga : paryavaran par ek mazedara nataka,The village elders believe she sheds green light and plays the jaltarang to bewitch inncocent people near the village pond. Kaasni and Faizan decide to investigate if she even exists because they don't believe in jadugaranis and paris! This lively play interweaves fantasy and reality with rib-tickling humour to establish the importance of a clean environment.,,,2022,"""Children's Book, Environment, Fantasy, Humour, Indian Literature, Environmental Education, Drama, Play, Mystery, Adventure, Folklore, Environmental Awareness, Sustainability, Village Life, Reality vs Fantasy"""
25,102,428.076/MAC,Teachers resources - Higher Secondary section,BKS,9781398311428,Hodder education,175p.,London,"Macgregor, Fiona",Cambridge checkpoint lower secondary world english 8,,,,2021,"""Education, Cambridge Checkpoint, Lower Secondary, English Language Learning, World English, Language Arts, Study Guide, Textbook, English Grammar, Secondary Education, School Systems, International Curriculum"""
26,1020,891.433/MAN,Secondary section - Hindi,BKS,9789386721334,Pratham Books,16p.,Bengaluru,"Manokaran, Jeyanthi",मरुभूमि में मालढोक / Marubhumi mein maldhok,"Chaitan's family seldom has guests. One day, a guest arrives. Why does his visit trouble not only Chaitan, but also his dearest friend Gagan?",,,2022,"""Indian Literature, Hindi Book, Family Drama, Friendship, Mystery, Guest Intrigue, Social Narrative, Cultural Setting, Conflict"""
27,1021,891.433/VAC,Primary section - Hindi,BKS,9789390190881,Pratham Books,12p.,Bengaluru,"Vachharajani, Bijal",वो रात / Wo raat,Translation of 'That night',,,2022,"""Translation, Hindi Language, Night, Fiction, Literary Work"""
28,1022,891.433/DAS,Secondary section - Hindi,BKS,9789353095666,Pratham Books,19p.,Bengaluru,"Dastidar, Riddhi",नीलू और असाधारण मुद्रक / Nilu aur asadharana mudraka,Children's story based on a boy Neelu and 3D printing.,,,2022,"""Children's Literature, Hindi Books, Adventure, 3D Printing, Technology in Children's Books, Indian Authors, Boy Protagonist, Educational, Science Fiction for Children"""
29,1023,891.433/MAN,Secondary section - Hindi,BKS,9789350224731,Pratham Books,24p.,Bengaluru,"Manokaran, Jeyanthi",चिपको चिपको वृक्ष बचाओ / Chipko chipko vruksha bachao,Translation of 'Chipko takes root'. Story based on a brave Bhotiya girl who takes part in the Chipko movement to save her beloved trees.,,,2021,"""Chipko Movement"", ""Environmental Activism"", ""Indian Literature"", ""Children's Book"", ""Translated Works"", ""Bhotiya Culture"", ""Female Protagonist"", ""Conservation"", ""Trees"", ""Nature"", ""Social Issues"", ""Environmental Education"", ""Hindi Literature"""
30,1024,891.433/JAG,Secondary section - Hindi,BKS,9789350223499,Pratham Books,24p.,Bengaluru,"Jagannathan, Bharati",अगस्त का एक दिन / Agasta ka eka din,"Kishen's cow strays away one day in August, leading him and his friend Shagufta into unknown territory.",,,2022,"""Indian Literature, Adventure, Friendship, Children's Book, Rural Life, Animal Story, Exploration, Hindi Literature, Bilingual Book, Coming of Age"""
31,1025,891.433/PUR,Secondary section - Hindi,BKS,9789354670688,Pratham Books,24p.,Bengaluru,"Puri, Reena I.",खुश खुश मुर्गीयाँ / Khush khush murgiyan,Translation of 'Happy as a hen',,,2022,"""Children's Literature, Hindi Language, Translation, Happiness, Animal Story, Hens, Poultry, Positivity, Indian Literature"""
32,1026,891.433/MEN,Primary section - Hindi,BKS,9789387802834,Pratham Books,16p.,Bengaluru,"Menon, Sreelata",व्हऊऊ हाइपरलूप! / Vhoopee.. Haiperloop!,Children's story on fast transport system.,,,2022,"""Children's Books, Transportation, Hyperloop, Educational, Fast Transport Systems, Kids Science Fiction, Technology for Kids, Science & Technology, Innovation"""
33,1027,891.433/JET,Secondary section - Hindi,BKS,9789353095246,Pratham Books,16p.,Bengaluru,"Jetha, Rya",हरा सा / Hara sa,Nayantara and Aliza are dreaming for scientifically creating an artificial leaf which can purify the polluted air into pure oxygen.,,,2021,"""Science Fiction, Environmentalism, Air Pollution, Artificial Photosynthesis, Female Protagonists, Indian Literature, Bilingual Books, Environmental Science, Clean Energy, Futuristic Technology, Climate Change"""
34,1028,891.433/MEH,Primary section - Hindi,BKS,9789353094201,Pratham Books,20p.,Bengaluru,"Mehta, Sejal",एक सैर जंगल की / Ek sair jangle ki,"Translation of 'Walking in the wild'. Children story based on Zakhuma, a brave forest guard in Mizoram to learn about the different animals and what it means to protect the jungle.",,,2022,"""Children's Books, Animal Stories, Forest Adventures, Nature Education, Environmental Awareness, Jungle Exploration, Indian Literature, Translated Works, Jungle Protection, Brave Characters, Mizoram's Culture"""
35,1029,332.024/KUM,Secondary section - Hindi,BKS,9788184793741,Pratham Books,24p.,Bengaluru,"Kumar, Mala",पैसे का समझदारी से इस्तेमाल / Paise ka samajadri se istemal,On how to use money wisely; for children.,,Rupaya paisa shrukhala book 4,2022,"""Children's Finance, Money Management, Financial Literacy, Hindi Books, Personal Finance for Kids, Wise Spending, Budgeting, Savings, Indian Literature, Financial Education"""
36,103,428.076/MAC,Teachers resources - Higher Secondary section,BKS,9781398311435,Hodder education,176p.,London,"Macgregor, Fiona",Cambridge checkpoint lower secondary world english 9,,,,2021,"""Education, English, Cambridge Checkpoint, Lower Secondary, World English, Academic Study, Textbook, English Language Study, Secondary Education, International Curriculum"""
37,1030,891.433/GAD,Secondary section - Hindi,BKS,9788184794137,Pratham Books,32p.,Bengaluru,"Gadgil, Madhav",मीठे का शौकीन मुचकुंद / Mithe ka shaukin muchkund  ,Translation of 'Godtodny muchkund' marathi language book.,,,2013,"""Marathi Literature, Translation, Indian Literature, Fiction, Cultural"""
38,1031,891.433/MOH,Secondary section - Hindi,BKS,9789353095147,Pratham Books,24p.,Bengaluru,"Mohan, Rohini",मिशन साइकिल / Mission Cycle,Translation of 'Mission cycle'. Children story based on a little girl who wants to learn cycling but has a curfew in the city.,,,2022,"""Children's Literature, Translation, Adventure, Cycling, Learning, Indian Literature, Girl Protagonist, Life lessons, Curfew, Hindi Language, English Language, Bilingual, Youth Fiction, Sports, Overcoming Challenges"""
39,1032,954.035/SEN,Secondary section - Hindi,BKS,9788184794793,Pratham Books,20p.,Bengaluru,"Sen Gupta, Subhadra",हम उन्हें बा कहते हैं : कस्तूरबा गाँधी की जीवनी / Hum unhe ba kahate hai : Kasturba Gandhi ki jeevani,"Kasturba Gandhi was no ordinary woman. She had a strong identity, courage and tremendous willpower and she sacrificed a lot for her country. She was a friend and trusted companion of the Father of the Nation, Mahatma Gandhi.",,,2022,"""Biography, Kasturba Gandhi, Indian History, Women in History, Freedom Fighters, Mahatma Gandhi, Political History,Indian Independence Movement, Non-fiction, Inspirational Women"""
40,1033,891.433/NEH,Secondary section - Hindi,BKS,9789353093105,Pratham Books,24p.,Bengaluru,"Nehemiah, Asha",झूठ का पर्दा / Jhuth ka parda,"Children's story based on domestic violence, grit and hope.",,,2021,"""Children's Literature, Social Issues, Domestic Violence, Grit, Hope, Indian Literature, Hindi Literature, Life Lessons, Empowerment, Emotional Growth, Child Protagonist, Resilience, Abuse, Family Issues, Hope and Faith, Youth Activism"""
41,1034,891.433/RAO,Primary section - Hindi,BKS,9789353095543,Pratham Books,20p.,Bengaluru,"Rao, Sarat",पिंटू को कैसे मिला पाई / Pinto ko kaise mila paie,"Children's story about circles, math, and friendship.",,,2022,"""Children's Literature, Math Concepts, Geometry, Friendship, Storytelling, Educational, Hindi Language, Multilingual, Circles"""
42,1035,891.433/GUL,Secondary section - Hindi,BKS,9789353099404,Pratham Books,16p.,Bengaluru,"Gulati, Nikhil","मंगल की यात्रा पर, मंगलायन /Mangal ki yatra par mangalayan  ","About Mars Orbiter Mission, also called Mangalyaan; for children.",,,2022,"""Mars Orbiter Mission"", ""Mangalyaan"", ""Space Exploration"", ""Children's Science Book"", ""Educational"", ""Indian Space Mission"", ""Hindi Language"", ""Planet Mars"", ""Astronomy for Children"""
43,1036,891.433/GHO,Primary section - Hindi,BKS,9789386721525,Pratham Books,24p.,Bengaluru,"Ghosh, Aditi",सूश्री छछुंदरिया ने खोजी पुराणी गुफाया / Shushri chachundariya ne khoji purani gu[,"Translation of Miss Bandicota bengalensis discovers the old caves. Children story based on Miss Bandicota Bengalensis. She was no ordinary Indian mole rat. She was quite the adventurer. Every evening, she set out with her explorer's kit - sunglasses, binoculars, magnifying glass and a strip of sticker bandages. Now, join Miss Bandicota and her new friend in exploring one of the oldest hills and caves of India.",,,2022,"""Children's Literature, Adventure, Indian Mole Rat, Exploration, Caves, Miss Bandicota Bengalensis, Animals, India, Translated Work, Nature, Kid's Adventure Story, Exploration Kit, Folklore"""
44,1037,891.433/JAG,Secondary section - Hindi,BKS,9789350226551,Pratham Books,16p.,Bengaluru,"Jagannathan, Bharati",एक अजनबी से मुलाकात / Eka ajanabi se mulakat,"Siblings Ambika and Govinda are fascinated by the soldier who comes to see their father. Set somewhere near Mathura in the Kusana period, here is a story that evokes the sound of caravans; the jingle of cowries and beautifully engraved copper and gold coins; and conversations in Prakrit.",,Read india,2022,"""Historical Fiction, India, Mathura, Kusana Period, Prakrit, Caravans, Copper and Gold Coins, Soldier, Siblings, Indian History, Children's Literature, Cultural History, Sibling Relationships, Ancient India, Asian Literature"""
45,1038,791.43092/BHA,Secondary section - Hindi,BKS,9789350226377,Pratham Books,20p.,Bengaluru,"Bhave, Rupali",लाइट्स ... कैमरा ... ऐक्शन! : दादा साहब फाल्के के जीवनकाल की एक झलक / Lights .. camers...action! : Dada sahab phalke ke jeevankal ki jhalak,Translation of 'Lights ... camera ... action!'.,,,2022,"""Bollywood, Dada Saheb Phalke, Indian Cinema, Filmography, Biography, History, Indian Film Industry, Film Direction, Lights Camera Action, Hindi Books, Translated Work"""
46,1039,891.433/RAO,Secondary section - Hindi,BKS,9789353098803,Pratham Books,20p.,Bengaluru,"Rao, Chatura",केवल मूर्ख जाते हैं स्कूल / keval murkh jate hai school,"Children's story based on a little boy Sambha. He doesn't want to go to school, ever. He thinks school is for fools.",,,2022,"""Children's Books, Education, Anti-School Sentiments, Indian Literature, Hindi Literature, Stories for Kids, School Experiences, Character Development, Humor"""
47,104,500.76/BOA,Teachers resources - Primary section,BKS,9781108742733,Cambridge university press,80p.,London,"Board, Jon",Cambridge primary science : workbook 1,,,,2021,"""Primary Education, Science Workbook, Cambridge Education, Student Materials, Educational Book, Science Studies, Workbook Series, Learning Resource, STEM Education, Cambridge Primary Science"""
48,1040,891.433/DES,Secondary section - Hindi,BKS,9788195063321,Pratham Books,20p.,Bengaluru,"De Santis, Fausto Aarya",घर / Ghar,Translation of 'Home'.,,,2022,"""Translation, Hindi Literature, Home, Multilingual, Indian Author, Bilingual Edition, Cultural Context"""
49,1041,891.433/PIN,Secondary section - Hindi,BKS,9789353099206,Pratham Books,28p.,Bengaluru,"Pinto, Jerry",प्रिन्सेस स्ट्रीट की आर्ट गैलरी / Princess street ki art gallery,"On Gallery Chemould in Mumbai, India.",,,2022,"""Art Gallery, Gallery Chemould, Mumbai, India, Princess Street, Indian Art, Art and Culture, Indian Culture, City History, Urban Art Scene"""
50,1042,891.433/DSO,Secondary section - Hindi,BKS,9789353099008,Pratham Books,20p.,Bengaluru,"D’Souza, Fleur",बॉम्बिल और बॉम्बे / Bombil aur bombay,"Translation of 'Bombay ducks bombay docks'. Children story about the Kolis, the original inhabitants of Bombay, their favourite fish Bombay duck and the city's magnificent docks.",,,2022,"""Children's Literature, Translation, Bombay Dock, Kolis Culture, Indian Ethnic Groups, Bombay Duck, Indigenous People, Mumbai History, Fishing Communities, Indian children's Book, Regional Lifestyle"""
51,1043,891.433/TRI,Secondary section - Hindi,BKS,9788184791792,Pratham Books,63p.,Bengaluru,"Trivedi, Pranav","नोनो, बर्फ़ का राजा / Nono barf ka raja","Novel on the majestic animal leopard that lives in Spiti Valley, high up in the Himalayas; for juvenile.",,,2021,"""Leopard, Spiti Valley, Himalayas, Juvenile Fiction, Animal Story, Adventure, Wildlife, Indian Literature, Hindi Novel, Majestic Animals, Young Adult, Nature, Environment"""
52,1044,891.433/OYE,Secondary section - Hindi,BKS,9789353094799,Pratham Books,24p.,Bengaluru,"O’Yeah, Zac",रहस्यमयी साइबर मित्र / Rahasyamayi ciber mitra,"Children story about a girl who loves learning new things using the computer; the computer has games and social media sites, she is thrilled to make a new friend on one such site. But is this friend lying to her?",,,2021,"""Children's Literature, Online Safety, Technology, Social Media, Cybersecurity, Friendship, Adventure, Mystery, Suspense, Life Lessons, Indian Literature, Bilingual Books, Internet Culture, Digital Literacy, Identity Sythesis, Privacy, Girl Protagonist"""
53,1045,891.433/SRI,Secondary section - Hindi,BKS,9789390248520,Pratham Books,20p.,Bengaluru,"Srinivasan, Shalini",पानी की आवाज़ें / Pani ki aawaje,Varsha and her Appa live near the forest. It has been a hot summer and Varsha is feeling the heat. One day she hears a strange noise and decides to investigate. Only she can hear the sound and wonders what it is. What will Varsha find and will Appa believe her?,,,2021,"""Children's Book, Adventure, Mystery, Indian Literature, Bilingual, Environmental Themes, Nature, Exploration, Father-Daughter Relationship, Indian Culture, Summer, Forest, Sound Theme"""
54,1046,891.433/MEN,Secondary section - Hindi,BKS,9789386346070,Pratham Books,24p.,Bengaluru,"Menon, Anil",छोटे मणि की उलझन बड़ी / Chote mani ki uljhan badi,"Manikantan's Amulet can tell when he's happy or sad, sick or well. It can tell him when to eat and when to sleep, help with his homework and let Amma know if he's not feeling well. Is it magic or is it science?",,,2022,"""Children's Books, Emotional Intelligence, Science and Magic, Indian Literature, Family Dynamics, Fiction, Health Awareness, Learning Tools, Parent-Child Relationship, Bilingual Books"""
55,1047,891.433/JAG,Secondary section - Hindi,BKS,9789350223437,Pratham Books,20p.,Bengaluru,"Jagannathan, Bharati",एक यादगार मेला / Ek yadgar mela,"Set in sixteenth century Vijayanagara, this is a story about three friends who meet a stranger in a fair.",,,2022,"""Historical Fiction, Sixteenth Century, Vijayanagara, Friendship, Adventure, Indian Culture, Regional Literature, Mystery, Stranger, Fairs and Festivals, Children's Literature, Multilingual: Hindi and English, Indian History, Exploring New Places"""
56,1048,620.092/KUM,Secondary section - Hindi,BKS,9789353090036,Pratham Books,27p.,Bengaluru,"Kumar, Mala","सर एम विश्वेश्वरैया बाँध, सेतु और प्रगतिशील भारत के निर्माता / Sir M. Visvesvaraya bandh setu aur pragatshil bharat ke nirmata","Translation of 'Sir M.Visvesvaraya : the builder of dams,bridges and a nation",,,2022,"""Sir M. Visvesvaraya"", ""Hindi Translation"", ""Dams and Bridges"", ""Nation Builder"", ""Engineering and Infrastructure"", ""Progressive India"", ""Biography"", ""Indian History"", ""Infrastructure Development"", ""Civil Engineering"""
57,1049,891.433/MAH,Secondary section - Hindi,BKS,9789350225042,Pratham Books,16p.,Bengaluru,Mahipal,सारस / Saras,Children's moral story based on to love animals and birds.,,,2022,"""Children's Books, Animal Stories, Bird Stories, Morality, Love for Animals, Environmental Education, Indian Literature, Children's Moral Stories, Hindi Books, Animal Love, Educational, Family Reading, Kids Storybook"""
58,105,500.76/BOA,Teachers resources - Primary section,BKS,9781108742757,Cambridge university press,81p.,London,"Board, Jon",Cambridge primary science : workbook 2,,,,2021,"""Education, Primary Education, Science Workbook, Science Education, Cambridge Primary, Student Resources, Teaching Resources, Academic Workbook, Children's Books"""
59,1050,891.433/SAD,Secondary section - Hindi,BKS,9789353095307,Pratham Books,24p.,Bengaluru,"Sadikot, Alisha",कोडिंग केे शिखर पर :कंप्युटर और कोडिंग को नयी दिशाऍं देने वाली अग्रणी महिलाऍं / Coding ke shikhar par : computer aur coding ko nayi dishaye dene vali agrani mahilaye,On women computer scientists for juvenile.,,,2022,"""Computer Science, Women in Technology, Coding, Juvenile Literature, Female Computer Scientists, Women Coders, Hindi Language, Inspirational Women, Career Development in Tech, Gender Equality in Tech, Indian Authors, Computer Programming, Educational"""
60,1051,891.433/KAP,Secondary section - Hindi,BKS,9789353099824,Pratham Books,24p.,Bengaluru,"Kapur, Sanjana",भैया की मुस्कान किसने उड़ाई? / Bhaiya ki muskan kisane udai?,Children's story based on mental stress.,,,2022,"""Children's Literature, Mental Health, Stress Management, Emotional Wellbeing, Indian Literature, Hindi Language Books, Mental Health Awareness for Children, Child Psychology, Family Dynamics, Stress in Children"""
61,1052,891.433/RAO,Secondary section - Hindi,BKS,9788184794854,Pratham Books,20p.,Bengaluru,"Rao, Ambika",घाट की मायावी बिल्ली / Ghat ki mayavi billi,This is a book that takes you deep into the jungles of the Western Ghats. A wildlife photographer sets out to find an elusive wild cat and meets a menagerie of fascinating creatures.,,,2022,"""Adventure, Wildlife Photography, Western Ghats, Wild Cats, Hindi Literature, Jungles, Exploration, Animal Encounters, Indian Fiction, Translation Work, Nature, Mystery"""
62,1053,891.433/ANW,Secondary section - Hindi,BKS,9789350224670,Pratham Books,20p.,Bengaluru,"Anwar, Shahid",बादशाही पार्क / Badshahi park,,,,2022,"""Indian Literature, Hindi Literature, Badshahi Park, Translation, Bilingual, Cultural Setting"""
63,1054,891.433/PRA,Secondary section - Hindi,BKS,9789353093150,Pratham Books,16p.,Bengaluru,"Prasad, Veena",प्राचीन जीव / Prachin jeev,Translation of 'Creatures of old'. On paleontology; for juvenile.,,,2021,"""Paleontology, Creatures of Old, Juvenile Literature, Translations, Prehistoric Animals, Science, Non-fiction, Educational, Dinosaurs, Fossils, Ancient Life"""
64,1055,891.433/KOT,Secondary section - Hindi,BKS,9788184795400,Pratham Books,16p.,Bengaluru,"Kothari, Ashish",शहरी ताल का जादु / Shahari taal ka jadu,"Translation of 'Wildlife in a city pond'. Describes the behavior and life of animals in and next to a pond, and efforts to protect ponds in and near cities.",,,2022,"""Nature, Wildlife, City Wildlife, Pond Ecosystem, Animal Behavior, Environmental Protection, Translation, Urban Conservation, Hindi Literature, Environmental Education"""
